LngtClass,Year
4500,01/01/1994
6500,01/01/1994
8100,01/01/1994
4000,01/01/1994
2200,01/01/1994
2700,01/01/1994
3600,01/01/1994
4300,01/01/1994
4600,01/01/1994
6900,01/01/1994
6500,01/01/1994
2500,01/01/1994
3300,01/01/1994
3700,01/01/1994
5000,01/01/1994
7800,01/01/1994
2400,01/01/1994
3900,01/01/1994
5900,01/01/1994
7300,01/01/1994
3800,01/01/1994
1900,01/01/1994
3900,01/01/1994
4500,01/01/1994
2700,01/01/1994
2900,01/01/1994
7700,01/01/1994
1900,01/01/1994
2200,01/01/1994
2300,01/01/1994
2400,01/01/1994
2800,01/01/1994
3000,01/01/1994
2000,01/01/1994
2300,01/01/1994
2500,01/01/1994
2600,01/01/1994
2700,01/01/1994
2800,01/01/1994
2900,01/01/1994
3600,01/01/1994
6700,01/01/1994
7000,01/01/1994
2400,01/01/1994
1900,01/01/1994
2100,01/01/1994
3700,01/01/1994
3900,01/01/1994
5400,01/01/1994
5900,01/01/1994
1900,01/01/1994
2000,01/01/1994
2600,01/01/1994
2300,01/01/1994
2600,01/01/1994
1900,01/01/1994
2000,01/01/1994
2100,01/01/1994
2300,01/01/1994
2500,01/01/1994
2100,01/01/1994
2200,01/01/1994
6400,01/01/1994
7500,01/01/1994
4300,01/01/1994
4400,01/01/1994
4900,01/01/1994
4800,01/01/1994
3200,01/01/1994
1400,01/01/1994
6600,01/01/1994
1800,01/01/1994
3400,01/01/1994
4500,01/01/1994
1600,01/01/1994
5200,01/01/1994
3400,01/01/1994
3300,01/01/1994
3800,01/01/1994
3700,01/01/1994
3700,01/01/1994
1600,01/01/1994
1500,01/01/1994
1700,01/01/1994
1800,01/01/1994
3800,01/01/1994
6000,01/01/1994
3900,01/01/1994
4000,01/01/1994
3700,01/01/1994
5000,01/01/1994
2900,01/01/1994
2600,01/01/1994
2500,01/01/1995
2400,01/01/1995
3600,01/01/1995
5600,01/01/1995
7200,01/01/1995
4400,01/01/1995
2200,01/01/1995
3000,01/01/1995
3800,01/01/1995
6700,01/01/1995
7500,01/01/1995
3100,01/01/1995
4300,01/01/1995
2400,01/01/1995
7700,01/01/1995
8100,01/01/1995
8100,01/01/1995
3200,01/01/1995
3300,01/01/1995
3800,01/01/1995
4300,01/01/1995
4500,01/01/1995
4600,01/01/1995
4700,01/01/1995
4800,01/01/1995
4900,01/01/1995
5200,01/01/1995
5800,01/01/1995
6300,01/01/1995
2800,01/01/1995
3400,01/01/1995
3600,01/01/1995
4000,01/01/1995
4400,01/01/1995
4600,01/01/1995
4700,01/01/1995
4800,01/01/1995
4900,01/01/1995
5200,01/01/1995
6200,01/01/1995
6200,01/01/1995
4800,01/01/1995
6300,01/01/1995
7100,01/01/1995
6100,01/01/1995
3800,01/01/1995
3800,01/01/1995
3900,01/01/1995
4600,01/01/1995
5100,01/01/1995
6000,01/01/1995
7200,01/01/1995
4100,01/01/1995
4800,01/01/1995
6600,01/01/1995
6800,01/01/1995
3000,01/01/1995
3400,01/01/1995
4100,01/01/1995
3000,01/01/1995
3100,01/01/1995
3800,01/01/1995
6500,01/01/1995
2700,01/01/1995
3600,01/01/1995
3800,01/01/1995
4300,01/01/1995
4400,01/01/1995
4600,01/01/1995
4900,01/01/1995
6400,01/01/1995
5100,01/01/1995
5200,01/01/1995
5300,01/01/1995
5500,01/01/1995
5600,01/01/1995
6200,01/01/1995
2900,01/01/1995
3000,01/01/1995
3100,01/01/1995
3200,01/01/1995
4000,01/01/1995
4100,01/01/1995
4200,01/01/1995
4500,01/01/1995
5400,01/01/1995
6400,01/01/1995
6800,01/01/1995
7500,01/01/1995
7900,01/01/1995
8600,01/01/1995
8700,01/01/1995
2100,01/01/1995
3600,01/01/1995
4000,01/01/1995
3000,01/01/1995
2600,01/01/1995
2300,01/01/1995
25,01/01/1995
30,01/01/1995
6200,01/01/1995
2300,01/01/1995
2600,01/01/1995
2100,01/01/1995
2300,01/01/1995
2400,01/01/1995
2500,01/01/1995
1800,01/01/1995
2100,01/01/1995
2400,01/01/1995
2800,01/01/1995
2300,01/01/1995
2500,01/01/1995
3800,01/01/1995
1800,01/01/1995
2000,01/01/1995
2700,01/01/1995
3000,01/01/1995
3100,01/01/1995
1800,01/01/1995
1900,01/01/1995
2000,01/01/1995
2500,01/01/1995
2700,01/01/1995
2500,01/01/1995
5000,01/01/1995
1200,01/01/1995
2100,01/01/1995
2300,01/01/1995
2400,01/01/1995
2700,01/01/1995
5200,01/01/1995
6200,01/01/1995
2500,01/01/1995
3200,01/01/1995
3300,01/01/1995
3400,01/01/1995
5200,01/01/1995
4100,01/01/1995
5000,01/01/1995
3100,01/01/1995
3700,01/01/1995
4900,01/01/1995
5500,01/01/1995
4400,01/01/1995
4400,01/01/1995
3800,01/01/1995
5900,01/01/1995
4200,01/01/1995
4100,01/01/1995
4600,01/01/1995
4900,01/01/1995
1800,01/01/1995
2200,01/01/1995
2300,01/01/1995
2900,01/01/1995
3100,01/01/1995
3500,01/01/1995
3600,01/01/1995
1900,01/01/1995
1800,01/01/1995
3300,01/01/1995
2800,01/01/1995
2400,01/01/1995
3300,01/01/1995
5200,01/01/1995
3200,01/01/1995
4100,01/01/1995
1900,01/01/1995
8000,01/01/1995
6400,01/01/1995
9300,01/01/1995
2700,01/01/1995
2700,01/01/1995
3200,01/01/1995
2600,01/01/1995
2800,01/01/1995
3000,01/01/1995
3100,01/01/1995
3000,01/01/1995
4600,01/01/1995
2800,01/01/1995
8800,01/01/1995
4000,01/01/1995
2700,01/01/1995
3000,01/01/1995
2200,01/01/1995
3200,01/01/1995
3500,01/01/1995
2700,01/01/1995
3900,01/01/1995
4800,01/01/1995
4700,01/01/1995
7400,01/01/1995
6300,01/01/1995
6200,01/01/1995
3500,01/01/1995
2600,01/01/1995
3200,01/01/1995
3500,01/01/1995
3600,01/01/1995
4000,01/01/1995
4100,01/01/1995
7000,01/01/1995
7900,01/01/1995
3800,01/01/1995
3900,01/01/1995
4100,01/01/1995
5000,01/01/1995
7200,01/01/1995
2100,01/01/1995
2200,01/01/1995
3100,01/01/1995
3300,01/01/1995
3500,01/01/1995
2200,01/01/1995
2300,01/01/1995
3300,01/01/1995
5800,01/01/1995
2700,01/01/1995
3200,01/01/1995
2100,01/01/1995
2500,01/01/1995
2600,01/01/1995
2900,01/01/1995
3000,01/01/1995
2600,01/01/1995
2700,01/01/1995
4000,01/01/1995
4400,01/01/1995
5900,01/01/1995
4200,01/01/1995
4500,01/01/1995
4800,01/01/1995
7500,01/01/1995
2200,01/01/1995
2600,01/01/1995
4500,01/01/1995
6500,01/01/1995
7400,01/01/1995
7600,01/01/1995
7700,01/01/1995
8100,01/01/1995
5000,01/01/1995
70,01/01/1996
4700,01/01/1996
5200,01/01/1996
7400,01/01/1996
5900,01/01/1996
1600,01/01/1996
1700,01/01/1996
1800,01/01/1996
1900,01/01/1996
2000,01/01/1996
1700,01/01/1996
1800,01/01/1996
1900,01/01/1996
2100,01/01/1996
2200,01/01/1996
2300,01/01/1996
3100,01/01/1996
3500,01/01/1996
3600,01/01/1996
3200,01/01/1996
2100,01/01/1996
3700,01/01/1996
6200,01/01/1996
4400,01/01/1996
4400,01/01/1996
4000,01/01/1996
4100,01/01/1996
3500,01/01/1996
1800,01/01/1996
8300,01/01/1996
7000,01/01/1996
8000,01/01/1996
1600,01/01/1996
1300,01/01/1996
1800,01/01/1996
7100,01/01/1996
4100,01/01/1996
5000,01/01/1996
6000,01/01/1996
5100,01/01/1996
4100,01/01/1996
6700,01/01/1996
5600,01/01/1996
2700,01/01/1996
2900,01/01/1996
4600,01/01/1996
5100,01/01/1996
